id,name,email,phone,numbers,subject,contact_person,designation,user_id,pipeline_id,stage_id,sources,products,nill,detail,country,labels,order,status,created_by,is_active,is_converted,date,created_at,updated_at,notes
8134,Finca Ecológica Miraflores,NULL,+34 644 34 10 45,,Finca Ecológica Miraflores,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8135,Coliving Awid Aman : Casa Benahoares Los Llanos,NULL,+34 711 04 28 37,,Coliving Awid Aman : Casa Benahoares Los Llanos,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8136,La Escala | Food Craft & Specialty Coffee,https://www.instagram.com/laescalatenerife/?hl=en,+34 608 92 08 94,,La Escala | Food Craft & Specialty Coffee,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8137,Mirador Isla Bonita,NULL,+34 622 79 45 71,,Mirador Isla Bonita,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8138,STARSATWORK MENTORING S.L.,NULL,+34 641 06 80 29,,STARSATWORK MENTORING S.L.,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8139,Cowork Café en La Palma,https://alaislabonita.wixsite.com/tucoworkingenlapalma,+34 697 11 12 98,,Cowork Café en La Palma,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8140,OneCoWork Plaça Catalunya | Barcelona Coworking,https://onecowork.com/locations/onecowork-placa-catalunya,+34 936 02 67 07,,OneCoWork Plaça Catalunya | Barcelona Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8141,OneCoWork Catedral | Barcelona Coworking,https://onecowork.com/locations/catedral,+34 935 04 74 58,,OneCoWork Catedral | Barcelona Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8142,"Jungle Coworking - Coworking creativo en Poble Nou, Barcelona",https://junglecoworking.es/,+34 671 73 30 54,,"Jungle Coworking - Coworking creativo en Poble Nou, Barcelona",NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8143,Coworking en Passeig de Gràcia - Collective Barcelona,https://www.collectivebarcelona.com/es/contacto,+34 690 33 71 57,,Coworking en Passeig de Gràcia - Collective Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8144,Cowork Rambla Catalunya - Coworking Barcelona,https://coworkramblacatalunya.es/es/,+34 689 12 37 62,,Cowork Rambla Catalunya - Coworking Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8145,Sowo Coworking Barcelona,https://www.sowo.es/,+34 689 48 16 22,,Sowo Coworking Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8146,Mitre Workspace,https://mitreworkspace.com/,+34 931 22 34 75,,Mitre Workspace,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8147,La Vaca Coworking Barcelona,https://www.lavacacoworking.com/?utm_source=google&utm_medium=maps&utm_campaign=GoogleMaps&utm_term=coworking,+34 931 19 81 12,,La Vaca Coworking Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
