id,name,email,phone,numbers,subject,contact_person,designation,user_id,pipeline_id,stage_id,sources,products,test,detail,country,labels,order,status,created_by,is_active,is_converted,date,created_at,updated_at,notes
2,Mindstir Co-Working,info@mindstir.space,3316611193,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,64,1,2,1,0,12/18/2023,12/18/2023 18:59,11/25/2024 18:51,NULL
3,Work Zone,hello@workzone.com,3243437926,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,88,1,2,1,0,12/18/2023,12/18/2023 19:02,11/25/2024 18:51,NULL
4,The Hive,info@thehive.pk,517080129,NULL,Co-Working Software,NULL,NULL,7,1,3,,,,NULL,NULL,NULL,5,1,2,1,0,12/18/2023,12/18/2023 19:05,8/10/2024 13:03,NULL
5,Mentor's Pakistan,Not Available,Not Available,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,89,1,2,1,0,12/18/2023,12/18/2023 19:15,11/25/2024 18:51,NULL
6,Kaam Khana,info@kaamkhana.com,3352265226,NULL,Co-Working Software,NULL,NULL,7,1,1,,,,NULL,NULL,NULL,17,1,2,1,0,12/18/2023,12/18/2023 19:33,11/25/2024 15:17,NULL
7,Kawaa Co-Working,Ahmed@creativeitpark.org,3146620880,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,87,1,2,1,0,12/18/2023,12/18/2023 19:44,11/25/2024 18:51,NULL
11,KUBIKATE Co-Working,abx@gmail.com,3256969693,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,86,1,2,1,0,12/18/2023,12/18/2023 20:23,11/25/2024 18:51,NULL
13,twinhub,twinhub@pk,3348946482,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,81,1,2,1,0,12/18/2023,12/18/2023 20:43,11/25/2024 18:52,NULL
14,PAXICO,aby@gmail.com,3030888761,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,80,1,2,1,0,12/18/2023,12/18/2023 20:53,11/25/2024 18:52,"<p>Not interested, they are currently using one</p>"
15,TheWing,info@thewing.pk,3331119200,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,79,1,2,1,0,12/18/2023,12/18/2023 21:01,11/25/2024 18:52,NULL
17,Workshack,info@workshack.co,512722214,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,85,1,2,1,0,12/18/2023,12/18/2023 22:03,11/25/2024 18:51,NULL
21,HackerSpace,ab_c@gmail.com,3465080506,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,78,1,2,1,0,12/19/2023,12/19/2023 20:59,11/25/2024 18:52,NULL
