id,name,email,phone,numbers,subject,contact_person,designation,user_id,pipeline_id,stage_id,sources,products,dumy,detail,country,labels,order,status,created_by,is_active,is_converted,date,created_at,updated_at,notes
370,The City School E-11 Campus,CitySchool@gmail.com,(051) 222 897 073,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:01,5/10/2024 0:01,NULL
371,Islamabad Grammar School G-9 campus,Islamabadgrammarschhol@gmail.com,0300 9501008,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:08,5/10/2024 0:08,NULL
372,"Roots Millennium Schools, One World Campus, E11/4 Islamabad",RootsMillennium@gmail.com,0303 0501691,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:17,5/10/2024 0:17,NULL
373,Imperial International School & College,Imperial International@gmail.com,(051) 2103724,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:18,5/10/2024 0:18,NULL
374,Crescent International School & College,CrescentInternational@gmail.com,0331 8205364,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:21,5/10/2024 0:21,NULL
375,"ASAS International School, Islamabad F-10 Branch",ASASinternational@gmail.com,(051) 2113315,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:39,5/10/2024 0:39,NULL
376,"Future World School, Signature Campus F10/2, Islamabad",Futureworldschool@gmail.com,(051) 2102459,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:41,5/10/2024 0:41,NULL
377,Islamabad ALMA School & Academy,Islamabadalma@gmail.com,(051) 2280684,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:42,5/10/2024 0:42,NULL
378,Super Nova School,SuperNova@gmail.com,(051) 2255005,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:47,5/10/2024 0:47,NULL
379,Elite International School,Elite@gmail.com,(051) 2292006,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:48,5/10/2024 0:48,NULL
380,Princeton School Islamabad,Princeton@gmail.com,0340 1809150,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 0:52,5/10/2024 0:52,NULL
381,Falcon Grammar School & Academy,Falcon@gmail.com,Not Available,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 1:00,5/10/2024 1:00,NULL
382,Oxford High School,Oxford High School@gmail.com,(051) 2251644,NULL,School,NULL,NULL,7,2,9,NULL,NULL,,NULL,NULL,NULL,0,1,2,1,0,5/9/2024,5/10/2024 1:01,5/10/2024 1:01,NULL
