id,name,email,phone,numbers,subject,contact_person,designation,user_id,pipeline_id,stage_id,sources,products,dummy,detail,country,labels,order,status,created_by,is_active,is_converted,date,created_at,updated_at,notes
2,Mindstir Co-Working,info@mindstir.space,3316611193,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,64,1,2,1,0,12/18/2023,12/18/2023 22:59,11/25/2024 22:51,NULL
3,Work Zone,hello@workzone.com,3243437926,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,88,1,2,1,0,12/18/2023,12/18/2023 23:02,11/25/2024 22:51,NULL
4,The Hive,info@thehive.pk,517080129,NULL,Co-Working Software,NULL,NULL,7,1,3,,,,NULL,NULL,NULL,5,1,2,1,0,12/18/2023,12/18/2023 23:05,8/10/2024 16:03,NULL
5,Mentor's Pakistan,Not Available,Not Available,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,89,1,2,1,0,12/18/2023,12/18/2023 23:15,11/25/2024 22:51,NULL
6,Kaam Khana,info@kaamkhana.com,3352265226,NULL,Co-Working Software,NULL,NULL,7,1,1,,,,NULL,NULL,NULL,17,1,2,1,0,12/18/2023,12/18/2023 23:33,11/25/2024 19:17,NULL
7,Kawaa Co-Working,Ahmed@creativeitpark.org,3146620880,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,87,1,2,1,0,12/18/2023,12/18/2023 23:44,11/25/2024 22:51,NULL
11,KUBIKATE Co-Working,abx@gmail.com,3256969693,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,86,1,2,1,0,12/18/2023,12/19/2023 0:23,11/25/2024 22:51,NULL
13,twinhub,twinhub@pk,3348946482,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,81,1,2,1,0,12/18/2023,12/19/2023 0:43,11/25/2024 22:52,NULL
14,PAXICO,aby@gmail.com,3030888761,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,80,1,2,1,0,12/18/2023,12/19/2023 0:53,11/25/2024 22:52,"<p>Not interested, they are currently using one</p>"
15,TheWing,info@thewing.pk,3331119200,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,79,1,2,1,0,12/18/2023,12/19/2023 1:01,11/25/2024 22:52,NULL
17,Workshack,info@workshack.co,512722214,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,85,1,2,1,0,12/18/2023,12/19/2023 2:03,11/25/2024 22:51,NULL
21,HackerSpace,ab_c@gmail.com,3465080506,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,78,1,2,1,0,12/19/2023,12/20/2023 0:59,11/25/2024 22:52,NULL
22,IVY-Co-Working,ab.c@gmail.com,3008899984,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,84,1,2,1,0,12/21/2023,12/22/2023 0:19,11/25/2024 22:51,NULL
23,WeCreate,abq@gmail.com,518737115,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,83,1,2,1,0,12/21/2023,12/22/2023 0:26,11/25/2024 22:51,NULL
25,Coco Space,info@cocospace.pk,33550777,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,82,1,2,1,0,12/21/2023,12/22/2023 0:44,11/25/2024 22:51,NULL
26,THE Co-Working Space,ab.d@gmail.com,3335169043,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,81,1,2,1,0,12/21/2023,12/22/2023 0:50,11/25/2024 22:51,NULL
27,WorkZone,sales@workzonespaces.com,3243437926,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,80,1,2,1,0,12/21/2023,12/22/2023 0:57,11/25/2024 22:51,NULL
28,Launchpad7,launchpad7@gmail.com,3095303785,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,77,1,2,1,0,12/21/2023,12/22/2023 1:02,11/25/2024 22:52,<p>Not Interested</p>
29,Daftarkhwan |North,hello@daftarkhwan.com,3041113387,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,79,1,2,1,0,12/21/2023,12/22/2023 1:09,11/25/2024 22:51,NULL
30,CoWork24,info@Cowork24.pk,3165134161,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,78,1,2,1,0,12/21/2023,12/22/2023 1:18,11/25/2024 22:51,NULL
31,Startup CoWorks,info@startupcoworks.com,3095550753,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,77,1,2,1,0,12/21/2023,12/22/2023 1:27,11/25/2024 22:51,NULL
33,Daftarkhwan |Alpha,daftarkhwan.com,3041113387,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,76,1,2,1,0,12/21/2023,12/22/2023 1:43,11/25/2024 22:51,NULL
34,Daftarkhwan |Vantage,hello@daftar.com,3018421699,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,75,1,2,1,0,12/21/2023,12/22/2023 1:44,11/25/2024 22:51,NULL
36,Joyco Rawalpindi,info.rwp@joyco.pk,0321 8755250,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,74,1,2,1,0,12/21/2023,12/22/2023 1:52,11/25/2024 22:51,NULL
38,Hamara Office,help@hamaraoffice.com,0304 4440764,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,76,1,2,1,0,12/21/2023,12/22/2023 2:01,11/25/2024 22:52,NULL
41,"Regus - Islamabad, Emirates Tower",regus@gmail.com,(051) 2099102,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,75,1,2,1,0,12/21/2023,12/22/2023 2:37,11/25/2024 22:52,NULL
42,TecLounge,TecLounge Email is not available,0345 5573314,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,73,1,2,1,0,12/21/2023,12/22/2023 2:40,11/25/2024 22:51,NULL
43,Genie,Genie email is not available,0300 5681867,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,72,1,2,1,0,12/21/2023,12/22/2023 2:42,11/25/2024 22:51,NULL
44,Lead co working space,ab_x@gmail.com,0308 3585577,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,71,1,2,1,0,12/21/2023,12/22/2023 2:46,11/25/2024 22:51,NULL
46,The Indyspaces,a_bc@gmail.com,0300 5957597,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,70,1,2,1,0,12/21/2023,12/22/2023 2:50,11/25/2024 22:51,NULL
47,The OEC Tower,info@fnd.com.pk,Not Available,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,69,1,2,1,0,12/21/2023,12/22/2023 2:52,11/25/2024 22:51,NULL
48,Coworkist,email of this website not available,0311 5709075,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,68,1,2,1,0,12/21/2023,12/22/2023 2:55,11/25/2024 22:51,NULL
49,TechsaSpace,support@techsaspace.com,0337 8288848,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,67,1,2,1,0,12/21/2023,12/22/2023 2:57,11/25/2024 22:51,NULL
50,Enrollwork by Enrollers,info@enrollers.org,0313 7774377,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,66,1,2,1,0,12/21/2023,12/22/2023 3:00,11/25/2024 22:51,NULL
51,Hive Haven,Hivehaven.pk@gmail.com,0318 0979698,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,74,1,2,1,0,12/21/2023,12/22/2023 3:02,11/25/2024 22:52,NULL
52,Spaces Pakistan,abc2@gmail.com,0323 8418949,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,73,1,2,1,0,12/21/2023,12/22/2023 3:05,11/25/2024 22:52,"<p>They already have a software, they do not need it.</p>"
53,Daftarkhwan | Vanguard,Already Available,Not Available,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,65,1,2,1,0,12/21/2023,12/22/2023 3:07,11/25/2024 22:51,NULL
54,Broad Peak Realty,info@daaproptech.com,0314 3267767,NULL,Co-Working Software,NULL,NULL,7,1,5,,,,NULL,NULL,NULL,66,1,2,1,0,12/21/2023,12/22/2023 3:12,11/25/2024 22:52,NULL
55,Ivy Coworking Islamabad,not@found,(051) 8858888,NULL,Co-Working Software,Awais Rahat,Proprietor,7,1,1,"5,2",20,,NULL,NULL,NULL,5,1,2,1,0,1/2/2024,1/3/2024 2:25,1/22/2025 22:08,NULL
56,Cooffice,dev@cooffice.pk,Not Available,NULL,Co-Working Software,NULL,NULL,7,1,6,NULL,NULL,,NULL,NULL,NULL,63,1,2,1,0,1/2/2024,1/3/2024 2:27,11/25/2024 22:51,NULL
